A,W,MT,ID
16,2,1229,3
16,2,990,3
16,2,1362,3
16,2,894,3
16,2,1094,3
32,4,855,3
32,4,1498,3
32,4,1142,3
32,4,980,3
32,4,1175,3
32,1,1100,5
32,1,919,5
32,1,711,5
32,1,1011,5
32,1,898,5
16,4,869,2
16,4,926,2
16,4,972,2
16,4,860,2
16,4,735,2
64,2,836,5
64,2,915,5
64,2,990,5
64,2,827,5
64,2,1294,5
64,4,982,4
64,4,961,4
64,4,1090,4
64,4,888,4
64,4,859,4
64,1,1143,6
64,1,1004,6
64,1,1036,6
64,1,1098,6
64,1,1752,6
16,1,1316,4
16,1,2109,4
16,1,758,4
16,1,921,4
16,1,884,4
32,2,649,4
32,2,770,4
32,2,731,4
32,2,818,4
32,2,726,4
