A,W,MT,ID
512,32,815,4
512,32,661,4
512,32,716,4
512,32,842,4
512,32,1066,4
512,32,864,4
512,32,759,4
512,32,781,4
512,32,787,4
128,32,796,2
128,32,605,2
128,32,575,2
128,32,722,2
128,32,612,2
128,32,567,2
128,32,540,2
128,32,478,2
128,32,753,2
256,64,523,2
256,64,594,2
256,64,588,2
256,64,540,2
256,64,659,2
256,64,532,2
256,64,602,2
256,64,542,2
256,64,574,2
128,16,1130,3
128,16,897,3
128,16,713,3
128,16,748,3
128,16,799,3
128,16,808,3
128,16,887,3
128,16,805,3
128,16,748,3
512,64,719,3
512,64,683,3
512,64,650,3
512,64,673,3
512,64,736,3
512,64,610,3
512,64,654,3
512,64,636,3
512,64,675,3
256,16,827,4
256,16,645,4
256,16,870,4
256,16,992,4
256,16,736,4
256,16,759,4
256,16,750,4
256,16,850,4
256,16,1043,4
128,64,325,2
128,64,341,2
128,64,323,2
128,64,342,2
128,64,326,2
128,64,322,2
128,64,331,2
128,64,380,2
128,64,431,2
256,32,601,3
256,32,633,3
256,32,663,3
256,32,578,3
256,32,723,3
256,32,730,3
256,32,588,3
256,32,720,3
256,32,649,3
512,16,1216,5
512,16,1172,5
512,16,971,5
512,16,967,5
512,16,1224,5
512,16,1007,5
512,16,986,5
512,16,1167,5
512,16,970,5
